0.098		0.0476	0.0635	1.0635
0.298		0.0317	0.0476	1.0000
0.698		0.0317	0.0317	1.0159
1.098		0.0317	0.0476	1.0159
1.498		0.0317	0.0476	1.0317
1.898		0.0476	0.0476	1.0317
2.298		0.0317	0.0476	1.0317
2.698		0.0317	0.0635	1.0317
3.098		0.0317	0.0635	1.0159
3.498		0.0317	0.0476	1.0159
3.898		0.0159	0.0317	1.0000
4.298		0.0317	0.0159	1.0159
4.698		0.0317	0.0476	1.0317
5.098		0.0635	0.0635	1.0159
5.498		0.0317	0.0476	1.0159
5.898		0.0159	0.0476	1.0000
6.298		0.0159	0.0476	1.0159
6.698		0.0317	0.0635	1.0317
7.098		0.0476	0.0317	1.0317
7.498		0.0317	0.0794	1.0159
7.898		0.0317	0.0476	0.9841
8.298		0.0476	0.0635	1.0317
8.698		0.0317	0.0476	1.0159
9.097		0.0317	0.0635	1.0159
9.497		0.0317	0.0317	1.0000
9.897		0.0159	0.0635	1.0159
10.297	0.0159	0.0476	1.0159
10.697	0.0159	0.0476	1.0000
11.097	0.0476	0.0476	1.0159
11.497	0.0317	0.0476	1.0159
11.897	0.0159	0.0635	1.0159
12.297	0.0476	0.0635	1.0000
12.697	0.0159	0.0635	1.0159
13.097	0.0317	0.0476	1.0317
13.497	0.0159	0.0317	1.0317
13.897	0.0317	0.0476	1.0159
14.297	0.0317	0.0317	1.0159
14.697	0.0317	0.0476	1.0000
15.097	0.0317	0.0476	1.0159
15.497	0.0159	0.0476	1.0317
