0.065	-0.1746	0.9683	0.1746
0.464	-0.1746	0.9841	0.1746
0.864	-0.1587	0.9841	0.1587
1.264	-0.1587	0.9683	0.1746
1.664	-0.1587	0.9841	0.1587
2.064	-0.1587	0.9841	0.1746
2.464	-0.1746	0.9841	0.1746
2.864	-0.1746	1.0000	0.1905
3.264	-0.1905	0.9841	0.1905
3.664	-0.1905	0.9841	0.1587
4.064	-0.1746	0.9683	0.1429
4.464	-0.1746	0.9841	0.1587
4.864	-0.1905	0.9841	0.1746
5.264	-0.1587	1.0000	0.1746
5.664	-0.1905	0.9841	0.1746
6.064	-0.1587	0.9841	0.1587
6.464	-0.1587	0.9841	0.1746
6.864	-0.1587	0.9841	0.1746
7.264	-0.1746	0.9683	0.1905
7.664	-0.1746	0.9683	0.1587
8.064	-0.1746	0.9841	0.1905
8.464	-0.1587	0.9841	0.1746
8.864	-0.1587	0.9683	0.1587
9.264	-0.1746	0.9683	0.1587
9.664	-0.1746	0.9524	0.1746
9.731	-0.1746	1.0159	0.1746
10.031	-0.1587	0.9524	0.1905
10.431	-0.1746	0.9683	0.1746
10.831	-0.1587	0.9841	0.1746
11.231	-0.1587	0.9683	0.1746
11.631	-0.1746	0.9841	0.1746
12.031	-0.1587	0.9841	0.1905
12.431	-0.1746	1.0000	0.1587
12.831	-0.1587	0.9841	0.1746
13.231	-0.1746	0.9841	0.1429
13.631	-0.1587	0.9841	0.1587
14.031	-0.1905	0.9841	0.1905
14.431	-0.1587	0.9841	0.1905
14.831	-0.1587	0.9683	0.1746
15.231	-0.1587	0.9841	0.1746
